Time,Tc,T
1.680000000000000071e+01,2.970000000000000000e+02,3.201178836243257138e+02
1.690000000000000213e+01,2.970000000000000000e+02,3.201182535487929499e+02
1.700000000000000000e+01,2.970000000000000000e+02,3.201185808308863443e+02
1.710000000000000142e+01,2.970000000000000000e+02,3.201188700512700507e+02
1.719999999999999929e+01,2.970000000000000000e+02,3.201191253441243703e+02
1.730000000000000071e+01,2.970000000000000000e+02,3.201193504340103573e+02
1.740000000000000213e+01,2.970000000000000000e+02,3.201195486707611053e+02
1.750000000000000000e+01,2.970000000000000000e+02,3.201197230622979646e+02
1.760000000000000142e+01,2.970000000000000000e+02,3.201198763053343441e+02
1.769999999999999929e+01,2.970000000000000000e+02,3.201200108139726126e+02
1.780000000000000071e+01,2.970000000000000000e+02,3.201201287462128562e+02
1.790000000000000213e+01,2.970000000000000000e+02,3.201202320284434677e+02
1.800000000000000000e+01,2.970000000000000000e+02,3.201203223779871223e+02
1.810000000000000142e+01,2.970000000000000000e+02,3.201204013237878030e+02
1.819999999999999929e+01,2.970000000000000000e+02,3.201204702253441496e+02
1.830000000000000071e+01,2.970000000000000000e+02,3.201205302899837193e+02
1.840000000000000213e+01,2.970000000000000000e+02,3.201205825885930949e+02
1.850000000000000000e+01,2.970000000000000000e+02,3.201206280699029207e+02
1.860000000000000142e+01,2.970000000000000000e+02,3.201206675734349574e+02
1.869999999999999929e+01,2.970000000000000000e+02,3.201207018412148386e+02
1.880000000000000071e+01,2.970000000000000000e+02,3.201207315283425032e+02
1.890000000000000213e+01,2.970000000000000000e+02,3.201207572125227898e+02
1.900000000000000000e+01,3.000000000000000000e+02,3.207037713707682087e+02
1.910000000000000142e+01,3.000000000000000000e+02,3.212077114952338093e+02
1.920000000000000284e+01,3.000000000000000000e+02,3.216453297796047082e+02
1.930000000000000071e+01,3.000000000000000000e+02,3.220267429829483490e+02
1.940000000000000213e+01,3.000000000000000000e+02,3.223600855823264055e+02
1.950000000000000000e+01,3.000000000000000000e+02,3.226519840609483367e+02
1.960000000000000142e+01,3.000000000000000000e+02,3.229079044953552966e+02
1.970000000000000284e+01,3.000000000000000000e+02,3.231324100152856431e+02
1.980000000000000071e+01,3.000000000000000000e+02,3.233293535335436673e+02
1.990000000000000213e+01,3.000000000000000000e+02,3.235020217294028271e+02
2.000000000000000000e+01,3.000000000000000000e+02,3.236532456236975008e+02
2.010000000000000142e+01,3.000000000000000000e+02,3.237854845773005081e+02
2.020000000000000284e+01,3.000000000000000000e+02,3.239008912194690311e+02
2.030000000000000071e+01,3.000000000000000000e+02,3.240013632601552445e+02
2.040000000000000213e+01,3.000000000000000000e+02,3.240885804608979583e+02
2.050000000000000000e+01,3.000000000000000000e+02,3.241640369751861499e+02
2.060000000000000142e+01,3.000000000000000000e+02,3.242290667170016150e+02
2.070000000000000284e+01,3.000000000000000000e+02,3.242848636149694244e+02
2.080000000000000071e+01,3.000000000000000000e+02,3.243324981906317248e+02
2.090000000000000213e+01,3.000000000000000000e+02,3.243729313090207711e+02
2.100000000000000000e+01,3.000000000000000000e+02,3.244070257442103866e+02
2.110000000000000142e+01,3.000000000000000000e+02,3.244355560469291504e+02
2.120000000000000284e+01,3.000000000000000000e+02,3.244592170807855496e+02
2.130000000000000071e+01,3.000000000000000000e+02,3.244786314813399599e+02
2.140000000000000213e+01,3.000000000000000000e+02,3.244943561714507041e+02
2.150000000000000000e+01,3.000000000000000000e+02,3.245068885717613512e+02
2.160000000000000142e+01,3.000000000000000000e+02,3.245166722530510697e+02
2.170000000000000284e+01,3.000000000000000000e+02,3.245241014740176979e+02
2.180000000000000071e+01,3.000000000000000000e+02,3.245295257027577804e+02
2.190000000000000213e+01,3.000000000000000000e+02,3.245332537778731989e+02
2.200000000000000000e+01,3.000000000000000000e+02,3.245355577456763285e+02
2.210000000000000142e+01,3.000000000000000000e+02,3.245366764024752229e+02
2.220000000000000284e+01,3.000000000000000000e+02,3.245368185650254986e+02
2.230000000000000071e+01,3.000000000000000000e+02,3.245361660879779606e+02
2.240000000000000213e+01,3.000000000000000000e+02,3.245348766442060082e+02
2.250000000000000000e+01,3.000000000000000000e+02,3.245330862819363347e+02
2.260000000000000142e+01,3.000000000000000000e+02,3.245309117713390492e+02
2.270000000000000284e+01,3.000000000000000000e+02,3.245284527524440250e+02
2.280000000000000071e+01,3.000000000000000000e+02,3.245257936957609104e+02
2.290000000000000213e+01,3.000000000000000000e+02,3.245230056866722634e+02
2.300000000000000000e+01,3.000000000000000000e+02,3.245201480444583808e+02
2.310000000000000142e+01,3.000000000000000000e+02,3.245172697866221938e+02
2.320000000000000284e+01,3.000000000000000000e+02,3.245144109489966695e+02
2.330000000000000071e+01,3.000000000000000000e+02,3.245116037718942152e+02
2.340000000000000213e+01,3.000000000000000000e+02,3.245088737622870667e+02
2.350000000000000000e+01,3.000000000000000000e+02,3.245062408972420940e+02
2.360000000000000142e+01,3.000000000000000000e+02,3.245037195936499188e+02
2.370000000000000284e+01,3.000000000000000000e+02,3.245013204197117034e+02
2.380000000000000071e+01,3.000000000000000000e+02,3.244990504091800858e+02
2.390000000000000213e+01,3.000000000000000000e+02,3.244969136404528172e+02
2.400000000000000000e+01,3.000000000000000000e+02,3.244949117437838026e+02
2.410000000000000142e+01,3.000000000000000000e+02,3.244930443436771270e+02
2.420000000000000284e+01,3.000000000000000000e+02,3.244913094430368687e+02
2.430000000000000071e+01,3.000000000000000000e+02,3.244897037551655785e+02
2.440000000000000213e+01,3.000000000000000000e+02,3.244882229892273813e+02
2.450000000000000000e+01,3.000000000000000000e+02,3.244868620943346400e+02
2.460000000000000142e+01,3.000000000000000000e+02,3.244856154669728880e+02
2.470000000000000284e+01,3.000000000000000000e+02,3.244844771260589482e+02
2.480000000000000071e+01,3.000000000000000000e+02,3.244834408595269224e+02
2.490000000000000213e+01,3.000000000000000000e+02,3.244825003459578738e+02
2.500000000000000000e+01,3.000000000000000000e+02,3.244816492544146627e+02
